Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
5522,遠雄,2324122.0,163844931.0,70.5,72.0,68.8,70.6,0.1,3055.0
5525,順天,59822.0,2042000.0,34.4,34.4,33.95,34.3,-0.1,84.0
5531,鄉林,640595.0,7300598.0,11.3,11.5,11.2,11.5,0.2,392.0
5533,皇鼎,122420.0,2562977.0,20.9,21.0,20.8,20.95,-0.25,161.0
5534,長虹,398258.0,35207141.0,88.6,89.5,87.9,88.1,-0.2,406.0
5607,遠雄港,708323.0,33216174.0,47.15,47.7,46.3,46.3,-1.25,1628.0
5608,四維航,1281950.0,22850727.0,18.15,18.25,17.7,17.7,-0.3,659.0
5871,中租-KY,22283038.0,2805484720.0,124.0,129.0,122.5,123.0,2.0,14630.0
5871A,中租-KY甲特,23503.0,2298041.0,97.8,97.8,97.7,97.7,0.0,13.0
5876,上海商銀,10785601.0,435049316.0,40.5,40.5,40.15,40.35,0.2,5026.0
5880,合庫金,7232576.0,182674925.0,25.35,25.4,25.2,25.2,-0.1,3428.0
6005,群益證,5112671.0,121718705.0,23.75,23.9,23.7,23.8,0.1,2630.0
6024,群益期,704265.0,41591827.0,59.5,60.0,58.5,58.8,-1.4,2302.0
6112,邁達特,4060866.0,218658018.0,55.2,55.4,52.4,52.5,-3.8,3096.0
6115,鎰勝,26223.0,1375515.0,52.5,52.5,52.3,52.3,-0.1,48.0
6116,彩晶,3325269.0,29520331.0,8.88,9.03,8.78,8.81,-0.07,1409.0
6117,迎廣,764580.0,74260469.0,98.3,98.8,96.4,96.7,-1.6,736.0
6120,達運,766196.0,10485510.0,13.7,13.9,13.5,13.6,0.0,336.0
6139,亞翔,2142154.0,494337470.0,230.0,234.5,228.5,229.0,-0.5,2891.0
6153,嘉聯益,873116.0,14547118.0,16.6,16.85,16.6,16.6,0.0,473.0
6166,凌華,231985.0,17248017.0,74.4,75.0,73.9,74.5,0.0,418.0
6176,瑞儀,1756587.0,337230366.0,193.0,194.5,190.5,190.5,-1.5,1338.0
6177,達麗,829813.0,36138737.0,43.6,44.05,43.3,43.35,0.0,705.0
6183,關貿,26567.0,2194504.0,82.7,83.0,82.1,82.3,-0.4,263.0
6184,大豐電,36567.0,1893631.0,51.8,51.8,51.7,51.7,-0.1,45.0
6189,豐藝,1335020.0,112627724.0,86.2,86.2,83.6,83.7,-2.6,1641.0
6191,精成科,1271180.0,69097071.0,54.3,55.0,54.1,54.1,-0.3,928.0
6192,巨路,98899.0,10613768.0,107.5,108.0,106.5,108.0,1.0,155.0
6196,帆宣,167124.0,25040998.0,150.5,151.0,149.0,149.5,-0.5,284.0
6197,佳必琪,751155.0,113982457.0,151.5,154.0,151.0,151.0,-1.5,936.0
6202,盛群,922577.0,46665477.0,49.6,51.4,49.4,50.1,1.0,930.0
6206,飛捷,1182691.0,102850722.0,88.0,88.0,85.5,86.9,2.9,1026.0
6213,聯茂,1854503.0,144042771.0,78.0,78.6,77.0,77.0,-0.7,1552.0
6214,精誠,7850387.0,1237583371.0,160.0,160.0,154.0,160.0,-4.0,5870.0
6230,尼得科超眾,47252.0,9819012.0,215.0,215.0,205.5,206.5,-6.0,383.0
6235,華孚,802280.0,55972957.0,69.5,70.6,69.2,69.5,-0.3,812.0
6239,力成,2081500.0,249623859.0,120.5,121.5,119.0,119.5,-1.0,1580.0
6257,矽格,2404927.0,169119801.0,71.2,71.5,69.5,69.5,-0.8,1784.0
6269,台郡,971636.0,63803445.0,65.4,66.4,65.3,65.5,0.5,757.0
6271,同欣電,1135896.0,150276282.0,131.0,133.5,131.0,132.0,1.0,1012.0
6277,宏正,135081.0,10392302.0,76.6,77.3,76.6,76.8,0.0,212.0
6278,台表科,982252.0,103380721.0,105.5,106.0,104.0,105.5,0.0,685.0
6281,全國電,16503.0,1369084.0,82.9,83.0,82.9,83.0,0.1,38.0
6282,康舒,2058235.0,67106009.0,32.55,33.25,32.25,32.25,-0.25,1447.0
6285,啟碁,1176610.0,139902738.0,119.5,121.0,118.0,118.5,-1.0,1177.0
6288,聯嘉,1742951.0,49844203.0,28.65,29.15,28.35,28.35,-0.25,1027.0
6409,旭隼,124093.0,240335690.0,1920.0,1950.0,1910.0,1945.0,15.0,266.0
6412,群電,554962.0,69660936.0,126.5,128.0,124.5,124.5,-1.5,766.0
6414,樺漢,364683.0,111437747.0,305.0,307.5,304.0,305.0,0.0,1733.0
6415,矽力*-KY,6300701.0,2792046332.0,425.0,452.5,425.0,445.5,34.0,7271.0
6416,瑞祺電通,1020885.0,112633857.0,113.0,113.0,109.0,109.0,-3.0,1018.0
6438,迅得,2024149.0,394921067.0,192.0,200.5,191.5,192.0,0.5,1917.0
6442,光聖,10467816.0,5824172714.0,550.0,578.0,541.0,548.0,-8.0,10423.0
6443,元晶,5946432.0,122637109.0,20.3,21.15,20.05,20.75,0.55,2395.0
6446,藥華藥,516026.0,301874404.0,585.0,592.0,582.0,582.0,0.0,881.0
6449,鈺邦,389956.0,57385877.0,149.0,149.5,145.5,145.5,-2.5,499.0
6451,訊芯-KY,13412563.0,3562492935.0,271.0,272.0,259.0,259.5,-11.5,11448.0
6456,GIS-KY,685876.0,34964212.0,50.5,51.3,50.3,51.0,1.1,618.0
6464,台數科,10035.0,804427.0,80.2,80.3,80.0,80.3,0.0,12.0
6472,保瑞,1387813.0,1076088662.0,779.0,790.0,766.0,767.0,-12.0,4451.0
6491,晶碩,845642.0,311454750.0,353.5,378.5,353.5,364.5,12.5,1274.0
6505,台塑化,9706031.0,386761701.0,39.25,40.65,39.2,39.5,0.4,4950.0
6515,穎崴,390304.0,436321160.0,1115.0,1130.0,1105.0,1115.0,0.0,911.0
6525,捷敏-KY,170487.0,11613779.0,68.5,69.4,67.6,67.7,-0.6,213.0
6526,達發,715864.0,487357595.0,688.0,692.0,673.0,676.0,-9.0,1444.0
6531,愛普*,1017713.0,323427251.0,319.0,322.0,315.5,315.5,-2.0,6551.0
6533,晶心科,692321.0,280455294.0,403.0,409.0,400.0,406.0,3.0,1152.0
6534,正瀚-創,44800.0,3677100.0,82.0,82.5,81.6,82.5,0.1,33.0
6541,泰福-KY,161968.0,10956152.0,68.1,68.6,67.0,67.0,-1.0,192.0
6550,北極星藥業-KY,374627.0,18775126.0,50.2,50.5,49.8,49.95,-0.25,337.0
6579,研揚,29516.0,3685945.0,125.5,125.5,124.5,124.5,-0.5,102.0
6581,鋼聯,160076.0,19218081.0,118.5,122.5,117.5,118.5,0.5,116.0
6582,申豐,314264.0,20634064.0,64.2,67.2,64.2,65.4,1.4,576.0
6585,鼎基,551974.0,74737319.0,136.5,138.0,133.0,135.5,-1.0,562.0
6592,和潤企業,570779.0,46795277.0,81.3,83.5,81.3,81.3,0.0,698.0
6605,帝寶,130297.0,30866591.0,237.0,238.5,235.5,236.5,-0.5,237.0
6655,科定,4055.0,511430.0,125.5,128.0,125.5,128.0,0.0,6.0
6669,緯穎,2924565.0,7163342910.0,2465.0,2510.0,2415.0,2435.0,-50.0,6211.0
6670,復盛應用,363469.0,112906077.0,316.5,316.5,308.5,311.0,-2.5,3133.0
6689,伊雲谷,1576523.0,172189097.0,109.0,112.0,106.5,109.0,-1.0,1484.0
6691,洋基工程,3438425.0,1317336949.0,378.0,393.0,370.5,387.5,19.0,4811.0
6695,芯鼎,11584768.0,778014560.0,64.5,69.2,64.0,68.3,0.8,8776.0
6706,惠特,4637735.0,727291450.0,164.0,166.0,151.5,154.0,-9.5,4112.0
6715,嘉基,1051302.0,183680725.0,175.5,178.0,171.0,171.0,-4.5,691.0
6719,力智,372608.0,87593886.0,232.0,240.0,232.0,233.0,0.0,480.0
6743,安普新,106455.0,4968811.0,46.3,47.0,46.3,46.65,0.3,120.0
6753,龍德造船,276874.0,28799753.0,103.5,105.0,103.0,103.5,0.0,296.0
6756,威鋒電子,383913.0,52565606.0,135.0,139.0,132.0,136.5,5.5,711.0
6757,台灣虎航,3009504.0,242405299.0,81.5,81.6,79.8,80.1,-1.2,2344.0
6768,志強-KY,2140291.0,288751224.0,136.5,139.0,130.5,137.5,-1.5,1844.0
6770,力積電,8607051.0,145189798.0,16.7,17.2,16.65,16.7,0.05,3469.0
6781,AES-KY,462284.0,444034075.0,972.0,975.0,953.0,953.0,-39.0,832.0
6782,視陽,269826.0,51639875.0,190.5,194.0,190.0,190.0,-0.5,400.0
6789,采鈺,259604.0,70471376.0,271.0,274.5,270.0,270.5,0.0,1066.0
6790,永豐實,69810.0,3183451.0,45.85,45.9,45.45,45.7,0.3,69.0
6805,富世達,1224773.0,1260117470.0,1035.0,1050.0,1010.0,1030.0,10.0,1547.0
